case,n_customers,algorithm,time_ms,cost,valid_capacity,vehicles
cvrplib_Vrp-All_P-n55-k10,54,Clarke-Wright,1.3553000026149675,732.1977803990392,True,10
cvrplib_Vrp-All_P-n55-k10,54,Sweep,0.9522000036668032,780.462527776962,True,10
cvrplib_Vrp-All_P-n55-k15,54,Greedy,0.5889000021852553,1221.5282302239984,True,16
cvrplib_Vrp-All_P-n55-k15,54,Clarke-Wright,1.352999999653548,978.067966781673,True,17
cvrplib_Vrp-All_P-n55-k15,54,Sweep,0.483900003018789,1113.1455148145058,True,17
cvrplib_Vrp-All_P-n55-k7,54,Greedy,0.5734000005759299,761.0790805909157,True,7
cvrplib_Vrp-All_P-n55-k7,54,Clarke-Wright,1.3275999954203144,618.6796721786774,True,7
cvrplib_Vrp-All_P-n55-k7,54,Sweep,1.5769000019645318,657.935563757229,True,7
cvrplib_Vrp-All_P-n55-k8,54,Greedy,0.5723999929614365,873.429267516131,True,7
cvrplib_Vrp-All_P-n55-k8,54,Clarke-Wright,1.4281000039773062,631.6697116721369,True,7
cvrplib_Vrp-All_P-n55-k8,54,Sweep,1.4613000093959272,643.5546528735279,True,7
cvrplib_Vrp-All_P-n60-k10,59,Greedy,0.6892000092193484,1096.6252562624147,True,10
cvrplib_Vrp-All_P-n60-k10,59,Clarke-Wright,1.6123999957926571,800.1947606543373,True,10
